STOPID,PREVSTOPID,TIMESTAMP,T_HOUR,TIMETAKEN
10871,10875,1449890810182,8,40000
14523,4643,1449890795176,8,59990
2272,129,1449890735184,8,119989
9989,1041,1449890775197,8,79986
8586,1157,1449890845159,8,15000
312,1289,1449890790171,8,69990
751,1287,1449890820165,8,40000
312,1289,1449890785185,8,74989
4838,9990,1449890765177,8,99989
1286,33322,1449890760178,8,104990
1289,21,1449890830170,8,35000
1042,9988,1449890810170,8,55000
375,BP2778,1449890760184,8,104988
29684,37643,1449890670186,8,194990
27566,10893,1449890830178,8,35000
14535,BP1379,1449890760190,8,104989
166,29684,1449890610194,8,254989
9988,804,1449890850173,8,20000
14242,3219,1449890815194,8,54989
2638,2637,1449890795173,8,79990
7823,BP3504,1449890525175,8,349989
R0325,14523,1449890855166,8,20000
2272,129,1449890785177,8,89990
9986,375,1449890820178,8,54999
2272,129,1449890755190,8,119988
1275,1277,1449890845182,8,29999
793,14920,1449890755171,8,124990
14540,4645,1449890835165,8,45000
9992,4838,1449890865166,8,15000
33325,33320,1449890755177,8,124990
315,312,1449890860174,8,20000
943,R0330,1449890850174,8,30000
8560,8558,1449890805194,8,74990
BP5486,14456,1449890675172,8,209990
29844,BP5486,1449890885162,8,0
BP1379,37219,1449890760179,8,124990
BP3536,7824,1449890750188,8,134988
8586,2018,1449890800172,8,89990
1042,9988,1449890870173,8,20000
R0473,R0474,1449890830177,8,59999
14510,34246,1449890665170,8,229990
1285,1283,1449890845167,8,50000
4876,R0325,1449890745179,8,149990
1739,14523,1449890740183,8,154989
R0325,1739,1449890820173,8,75000
70362,27566,1449890865178,8,30000
3013,14535,1449890865179,8,30000
3217,14242,1449890870183,8,25000
2626,793,1449890880161,8,20000
14219,13506,1449890820178,8,80000
1739,R0325,1449890875166,8,30000
7851,37643,1449890830181,8,75000
BP5408,BP5998,1449890745194,8,159988
2070,2068,1449890835184,8,70000
14639,1278,1449890845161,8,65000
33326,33325,1449890880167,8,29999
14515,4876,1449890895169,8,15000
9990,1042,1449890865170,8,45000
9990,1042,1449890890173,8,20000
1042,804,1449890845181,8,64999
9988,1042,1449890910180,8,0
35678,35731,1449890685173,8,229990
1054,R0085,1449890825168,8,90000
23341,29775,1449890835183,8,79999
29981,2067,1449890840169,8,80000
660,166,1449890675182,8,244990
14530,3013,1449890895179,8,25000
315,312,1449890850181,8,70000
315,312,1449890860161,8,65000
14523,R0325,1449890895173,8,30000
BP5529,BP3203,1449890835176,8,89999
804,9986,1449890875177,8,50000
2639,2638,1449890875163,8,55000
315,312,1449890835170,8,95001
14528,14530,1449890920179,8,10000
14241,3217,1449890895183,8,35001
14920,2636,1449890835162,8,100000
1691,1286,1449890865168,8,70000
BP882,29684,1449890650190,8,284990
35030,BP882,1449890935180,8,0
760,10871,1449890850182,8,85000
805,9989,1449890855183,8,80000
BP842,9992,1449890880166,8,60011
2638,2637,1449890845171,8,95010
9986,375,1449890865172,8,75011
1291,315,1449890880174,8,60010
35731,10926,1449890800185,8,140000
8578,8560,1449890880184,8,60010
1284,33322,1449890770170,8,175000
80011,1280,1449890745176,8,200000
BP4608,BP842,1449890940177,8,4999
1286,33326,1449890910166,8,35011
312,1289,1449890865170,8,80010
930,2272,1449890855173,8,90010
2270,930,1449890945183,8,0
1937,14510,1449890895160,8,55010
1285,751,1449890860165,8,90010
14581,1739,1449890905166,8,45010
14511,14515,1449890910169,8,40010
BP4269,33924,1449890735191,8,214998
14530,14528,1449890930179,8,20010
25096,29981,1449890920169,8,35011
9992,9990,1449890910170,8,45010
33549,1275,1449890875181,8,80011
10868,760,1449890935182,8,20010
BP5307,2070,1449890905184,8,50010
1280,14639,1449890910161,8,50010
1692,1285,1449890950175,8,10000
1283,80011,1449890945176,8,15000
791,2626,1449890900161,8,65010
2270,2272,1449890875167,8,90010
7823,BP3504,1449890510170,8,455010
1291,315,1449890920181,8,45011
331,1691,1449890935168,8,35010
1042,804,1449890925177,8,45010
9988,1042,1449890970187,8,0
783,14219,1449890900178,8,70010
BP976,BP5307,1449890955194,8,15000
1115,308,1449890790169,8,185000
751,1285,1449890895167,8,80011
