VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/1/2016 1:59,1/1/2016 2:24,3,8.5,-73.92919159,40.86449051,1,N,-73.95127869,40.78585052,1,27.5,0.5,0.5,7.2,0,0.3,36
2,1/1/2016 2:00,1/1/2016 2:21,1,2.69,-73.99495697,40.77022552,1,N,-73.99145508,40.75127029,1,14.5,0.5,0.5,2,0,0.3,17.8
1,1/1/2016 2:00,1/1/2016 2:08,1,1.5,-73.95281982,40.77642822,1,N,-73.96289063,40.75823593,1,7.5,0.5,0.5,2.6,0,0.3,11.4
1,1/1/2016 2:03,1/1/2016 2:19,1,2.2,-73.9948349,40.76359558,1,N,-73.97197723,40.75631714,2,11.5,0.5,0.5,0,0,0.3,12.8
2,1/1/2016 2:03,1/1/2016 2:34,1,9.22,-73.98072815,40.77479172,1,N,-73.90280151,40.77550125,2,29.5,0.5,0.5,0,5.54,0.3,36.34
1,1/1/2016 2:05,1/1/2016 2:11,1,1.3,-74.00437927,40.72186661,1,N,-74.01177979,40.70759583,1,6,0.5,0.5,2,0,0.3,9.3
1,1/1/2016 2:07,1/1/2016 2:11,1,1.1,-73.93747711,40.79756546,1,N,-73.94867706,40.78605652,1,5.5,0.5,0.5,1,0,0.3,7.8
2,1/1/2016 2:12,1/1/2016 2:20,1,1.74,-73.9719162,40.78193283,1,N,-73.9475174,40.77528381,2,8.5,0.5,0.5,0,0,0.3,9.8
1,1/1/2016 2:14,1/1/2016 2:21,2,2.1,-73.9517746,40.76958847,1,N,-73.98286438,40.77086639,1,8.5,0.5,0.5,2.9,0,0.3,12.7
1,1/1/2016 2:14,1/1/2016 2:17,1,1.1,-73.99319458,40.75753784,1,N,-74.00314331,40.7441597,2,5,0.5,0.5,0,0,0.3,6.3
1,1/1/2016 2:20,1/1/2016 2:25,3,0.5,-73.97719574,40.78850174,1,N,-73.98104858,40.78179932,2,5,0.5,0.5,0,0,0.3,6.3
1,1/1/2016 2:21,1/1/2016 2:27,3,1.7,-73.8894577,40.86322784,1,N,-73.88606262,40.84429169,2,7.5,0.5,0.5,0,0,0.3,8.8
2,1/1/2016 2:22,1/1/2016 2:41,1,7.01,-73.98419189,40.74866104,1,N,-73.94345856,40.8102684,2,22,0.5,0.5,0,0,0.3,23.3
2,1/1/2016 2:23,1/1/2016 2:47,2,3.63,-73.97973633,40.72282028,1,N,-73.98769379,40.76015091,1,18,0.5,0.5,0,0,0.3,19.3
1,1/1/2016 2:29,1/1/2016 2:45,2,4.1,-73.98635864,40.7220726,1,N,-73.98635864,40.7220726,2,15,0.5,0.5,0,0,0.3,16.3
1,1/1/2016 2:30,1/1/2016 2:48,1,2,-73.9755249,40.75028229,1,N,-73.99249268,40.76760101,2,13,0.5,0.5,0,0,0.3,14.3
2,1/1/2016 2:33,1/1/2016 2:48,5,2.95,-74.00032043,40.72861862,1,N,-73.97916412,40.76101685,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,1/1/2016 2:36,1/1/2016 3:11,1,15.02,-73.98133087,40.74155045,1,N,-74.0026474,40.60271835,1,43,0.5,0.5,0,5.54,0.3,49.84
1,1/1/2016 2:41,1/1/2016 2:54,1,2.8,-73.98062134,40.78006363,1,N,-73.97503662,40.75224686,1,11.5,0.5,0.5,3.8,0,0.3,16.6
2,1/1/2016 2:45,1/1/2016 2:52,3,0.87,-73.9158783,40.76649094,1,N,-73.91223907,40.77479172,1,6.5,0.5,0.5,1.95,0,0.3,9.75
2,1/1/2016 2:45,1/1/2016 2:57,1,2.57,-73.9547348,40.79998016,1,N,-73.94750977,40.83034134,2,11,0.5,0.5,0,0,0.3,12.3
1,1/1/2016 2:47,1/1/2016 3:03,2,3.3,-74.00810242,40.73880386,1,N,-73.9678421,40.75365829,1,13.5,0.5,0.5,1.75,0,0.3,16.55
2,1/1/2016 2:49,1/1/2016 3:05,1,5.33,-73.97866058,40.72881317,1,N,-73.9901123,40.69046402,2,17.5,0.5,0.5,0,0,0.3,18.8
2,1/1/2016 2:52,1/1/2016 3:07,1,4.35,-73.96793365,40.76264191,1,N,-73.89704132,40.74901199,1,15.5,0.5,0.5,3.36,0,0.3,20.16
1,1/1/2016 3:02,1/1/2016 3:11,1,1.3,-73.95272827,40.80310822,1,N,-73.93506622,40.79592896,1,8,0.5,0.5,1,0,0.3,10.3
1,1/1/2016 3:03,1/1/2016 3:12,1,1.5,-73.97914886,40.74434662,1,N,-73.99871826,40.75506973,1,8,0.5,0.5,2,0,0.3,11.3
1,1/1/2016 3:03,1/1/2016 3:17,1,2.1,-73.99781036,40.74127579,1,N,-73.97702789,40.75180435,1,11.5,0.5,0.5,3.2,0,0.3,16
1,1/1/2016 3:12,1/1/2016 3:19,1,1.8,-73.97284698,40.75304413,1,N,-73.95612335,40.77191162,2,8,0.5,0.5,0,0,0.3,9.3
1,1/1/2016 3:16,1/1/2016 3:24,1,1,-73.99571228,40.71640396,1,N,-73.98482513,40.71773148,1,7,0.5,0.5,2,0,0.3,10.3
1,1/1/2016 3:18,1/1/2016 3:29,2,3.1,-73.98545074,40.74723053,1,N,-73.95378113,40.77093506,1,11,0.5,0.5,1,0,0.3,13.3
2,1/1/2016 3:22,1/1/2016 3:54,1,8.8,-73.98049927,40.67646027,1,N,-73.92976379,40.77082825,2,30.5,0.5,0.5,0,0,0.3,31.8
2,1/1/2016 3:26,1/1/2016 3:40,1,3.28,-73.96963501,40.76329041,1,N,-73.92166138,40.74328613,1,13,0.5,0.5,2.86,0,0.3,17.16
2,1/1/2016 3:28,1/1/2016 3:45,1,6.96,-73.99141693,40.75997925,1,N,-73.94727325,40.83097076,1,21.5,0.5,0.5,4.56,0,0.3,27.36
1,1/1/2016 3:31,1/1/2016 3:53,1,9.2,-74.00210571,40.73373032,1,N,-74.02624512,40.63580704,2,28,0.5,0.5,0,0,0.3,29.3
1,1/1/2016 3:32,1/1/2016 3:38,1,0.6,-73.98799896,40.74075699,1,N,-73.98067474,40.73947144,2,5.5,0.5,0.5,0,0,0.3,6.8
1,1/1/2016 3:36,1/1/2016 4:09,1,9.2,-73.9793396,40.76626968,1,N,-73.91941833,40.70186615,1,31.5,0.5,0.5,9.8,0,0.3,42.6
1,1/1/2016 3:39,1/1/2016 3:59,2,4.6,-73.95751953,40.7180481,1,N,-73.92110443,40.75679779,1,17.5,0.5,0.5,3.76,0,0.3,22.56
1,1/1/2016 3:40,1/1/2016 3:44,1,0.7,-73.9661026,40.75817871,1,N,-73.9593277,40.76334381,1,5,0.5,0.5,1.55,0,0.3,7.85
2,1/1/2016 3:40,1/1/2016 3:46,5,1.9,-73.97167969,40.76301956,1,N,-73.94892883,40.77363968,2,7,0.5,0.5,0,0,0.3,8.3
2,1/1/2016 3:42,1/1/2016 3:46,1,0.68,-73.98423767,40.74902725,1,N,-73.99085999,40.7398262,2,4.5,0.5,0.5,0,0,0.3,5.8
1,1/1/2016 3:44,1/1/2016 3:48,1,0.8,-73.99254608,40.74835205,1,N,-73.99012756,40.74000168,1,5.5,0.5,0.5,2,0,0.3,8.8
1,1/1/2016 3:52,1/1/2016 4:00,3,1.2,-73.98942566,40.73609161,1,N,-73.99230194,40.74933243,1,7.5,0.5,0.5,1,0,0.3,9.8
2,1/1/2016 3:52,1/1/2016 4:05,3,3.75,-73.98745728,40.7385788,1,N,-73.95427704,40.78437805,1,13.5,0.5,0.5,2.96,0,0.3,17.76
1,1/1/2016 4:01,1/1/2016 4:10,2,2.6,-73.96233368,40.7604866,1,N,-73.97316742,40.73865509,1,10.5,0.5,0.5,1,0,0.3,12.8
2,1/1/2016 4:05,1/1/2016 4:21,1,2.96,-73.98908234,40.72157669,1,N,-73.99357605,40.695961,1,13.5,0.5,0.5,2.96,0,0.3,17.76
1,1/1/2016 4:07,1/1/2016 4:19,1,4.7,-73.97711945,40.78758621,1,N,-73.93875122,40.83364487,1,15.5,0.5,0.5,3.35,0,0.3,20.15
2,1/1/2016 4:09,1/1/2016 4:18,2,1.87,-73.99377441,40.74536514,1,N,-73.99315643,40.76285553,1,9,0.5,0.5,1,0,0.3,11.3
2,1/1/2016 4:11,1/1/2016 4:22,1,2.37,-73.98731232,40.71980667,1,N,-73.97719574,40.7470665,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,1/1/2016 4:15,1/1/2016 4:28,1,2.3,-73.9717865,40.79481888,1,N,-73.94986725,40.81179047,2,11,0.5,0.5,0,0,0.3,12.3
1,1/1/2016 4:21,1/1/2016 4:54,1,20.3,-73.77668762,40.645504,2,N,-73.94966125,40.78214264,2,52,0,0.5,0,5.54,0.3,58.34
1,1/1/2016 4:28,1/1/2016 4:41,1,7.9,-73.98827362,40.71820068,1,N,-73.87633514,40.73251724,1,23,0.5,0.5,0,0,0.3,24.3
2,1/1/2016 4:29,1/1/2016 4:45,1,3.29,-73.93512726,40.80078125,1,N,-73.94127655,40.83583832,1,13,0.5,0.5,4.29,0,0.3,18.59
2,1/1/2016 4:29,1/1/2016 4:38,3,1.83,-73.99201202,40.7219162,1,N,-74.00643158,40.7378006,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,1/1/2016 4:29,1/1/2016 4:47,5,10.37,-73.91548157,40.77228165,1,N,-73.97937012,40.68267059,2,30,0.5,0.5,0,0,0.3,31.3
2,1/1/2016 4:30,1/1/2016 4:40,1,3.39,-73.95584106,40.77236176,1,N,-73.92562103,40.7563591,1,12,0.5,0.5,1.5,0,0.3,14.8
1,1/1/2016 4:33,1/1/2016 4:37,1,0.8,-73.94484711,40.7144165,1,N,-73.94087982,40.72090149,1,5,0.5,0.5,1.85,0,0.3,8.15
2,1/1/2016 4:34,1/1/2016 4:44,2,3.08,-73.96730042,40.75996017,1,N,-73.92797852,40.75785828,1,12,0.5,0.5,6,0,0.3,19.3
2,1/1/2016 4:34,1/1/2016 4:53,1,6.91,-73.98853302,40.75934982,1,N,-73.94219971,40.82952881,2,22,0.5,0.5,0,0,0.3,23.3
2,1/1/2016 4:43,1/1/2016 4:53,1,1.61,-73.9833374,40.73042297,1,N,-73.99658966,40.71546173,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,1/1/2016 4:45,1/1/2016 4:46,5,0.16,-73.93678284,40.82057571,1,N,-73.93483734,40.81977081,2,3,0.5,0.5,0,0,0.3,4.3
1,1/1/2016 4:46,1/1/2016 5:04,1,7.5,-73.95565796,40.77255249,1,N,-73.87199402,40.84187698,1,23.5,0.5,0.5,0,0,0.3,24.8
2,1/1/2016 4:54,1/1/2016 5:24,1,5.21,-73.98706055,40.71984482,1,N,-73.93110657,40.70724487,2,22,0.5,0.5,0,0,0.3,23.3
2,1/1/2016 5:15,1/1/2016 5:17,6,0.83,-73.9886322,40.73139954,1,N,-73.98246765,40.72338104,2,4.5,0.5,0.5,0,0,0.3,5.8
1,1/1/2016 5:17,1/1/2016 5:37,2,6.2,-73.96803284,40.75946808,1,N,-73.95077515,40.66646957,1,20,0.5,0.5,4.26,0,0.3,25.56
2,1/1/2016 5:22,1/1/2016 5:39,1,4.57,-74.00546265,40.72021866,1,N,-73.95845795,40.6943512,1,16.5,0.5,0.5,3.56,0,0.3,21.36
1,1/1/2016 5:25,1/1/2016 5:38,1,3.4,-74.00457001,40.74240112,1,N,-74.01152039,40.7027626,1,13,0.5,0.5,0.26,0,0.3,14.56
2,1/1/2016 5:33,1/1/2016 5:50,2,4.94,-73.95439148,40.71069336,1,N,-73.96334076,40.71160126,1,18,0.5,0.5,3.86,0,0.3,23.16
1,1/1/2016 5:38,1/1/2016 5:50,3,3,-73.97740173,40.72600555,1,N,-73.95915222,40.70729446,2,12,0.5,0.5,0,0,0.3,13.3
2,1/1/2016 5:55,1/1/2016 5:59,1,1.43,-73.98486328,40.76388168,1,N,-73.98819733,40.77807617,1,6,0.5,0.5,1.2,0,0.3,8.5
1,1/1/2016 5:55,1/1/2016 5:58,1,0.8,-73.90003204,40.7685585,1,N,-73.91151428,40.77550125,2,5,0,0.5,0,0,0.3,5.8
2,1/1/2016 6:02,1/1/2016 6:07,1,1.98,-73.98840332,40.72343826,1,N,-73.97711945,40.74692917,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,1/1/2016 6:05,1/1/2016 6:24,1,4.7,-73.98916626,40.71861649,1,N,-73.94818878,40.68417358,2,17.5,0,0.5,0,0,0.3,18.3
2,1/1/2016 6:19,1/1/2016 6:45,1,13.34,-73.98345947,40.76294327,1,N,-73.87208557,40.77449036,1,38,0,0.5,9.7,0,0.3,48.5
2,1/1/2016 6:21,1/1/2016 6:34,3,4.9,-74.00272369,40.73366165,1,N,-73.94799805,40.71419525,2,16.5,0,0.5,0,0,0.3,17.3
2,1/1/2016 6:29,1/1/2016 6:34,2,0.98,-73.98303986,40.73151016,1,N,-73.97401428,40.72334671,1,5.5,0,0.5,1.26,0,0.3,7.56
1,1/1/2016 6:49,1/1/2016 6:57,1,1.7,-73.96581268,40.79535294,1,N,-73.94697571,40.78083801,2,8.5,0,0.5,0,0,0.3,9.3
2,1/1/2016 6:57,1/1/2016 7:01,1,0.84,-73.94029236,40.7611618,1,N,-73.94989777,40.76182175,2,5,0,0.5,0,0,0.3,5.8
2,1/1/2016 7:11,1/1/2016 7:12,4,0.72,-73.997612,40.76055908,1,N,-73.99658966,40.76670074,2,4,0,0.5,0,0,0.3,4.8
1,1/1/2016 7:17,1/1/2016 7:37,1,7.3,-73.99576569,40.73878098,1,N,-73.92070007,40.81496048,2,22,0,0.5,0,0,0.3,22.8
2,1/1/2016 8:02,1/1/2016 8:11,1,2.34,-73.98662567,40.75599289,1,N,-73.98246002,40.7312851,1,9.5,0,0.5,0,0,0.3,10.3
1,1/1/2016 8:04,1/1/2016 8:12,1,0.8,-73.99156952,40.75510406,1,N,-73.99082947,40.74927902,2,7,0,0,0,0,0.3,7.3
2,1/1/2016 8:32,1/1/2016 9:00,1,6.15,-73.95993042,40.65623093,1,N,-73.93328857,40.7076683,2,23.5,0,0.5,0,0,0.3,24.3
1,1/1/2016 8:39,1/1/2016 8:42,1,1,-73.9956665,40.74402237,1,N,-73.98257446,40.73558044,1,5,0,0.5,2.2,0,0.3,8
2,1/1/2016 8:47,1/1/2016 8:53,1,2.12,-73.98140717,40.77897263,1,N,-73.95584869,40.78783035,2,8,0,0.5,0,0,0.3,8.8
2,1/1/2016 9:02,1/1/2016 9:08,1,0.58,-74.00422668,40.7077713,1,N,-74.0110321,40.71334839,1,5.5,0,0.5,1.26,0,0.3,7.56
2,1/1/2016 9:13,1/1/2016 9:32,1,6.37,-73.92978668,40.76753998,1,N,-73.97096252,40.69335938,2,21,0,0.5,0,0,0.3,21.8
2,1/1/2016 9:16,1/1/2016 9:33,1,4.65,-73.98532104,40.75973129,1,N,-74.0085144,40.71168137,2,17,0,0.5,0,0,0.3,17.8
2,1/1/2016 9:30,1/1/2016 9:49,1,3.6,-73.98397064,40.74993134,1,N,-73.98033142,40.78226852,2,15.5,0,0.5,0,0,0.3,16.3
2,1/1/2016 9:42,1/1/2016 9:49,1,2.56,-74.00348663,40.72664261,1,N,-73.97817993,40.75219727,1,9,0,0.5,1.96,0,0.3,11.76
2,1/1/2016 9:49,1/1/2016 10:00,1,3.47,-74.00266266,40.72879028,1,N,-73.98725891,40.76847839,1,12.5,0,0.5,3.32,0,0.3,16.62
1,1/1/2016 9:50,1/1/2016 9:55,1,1.8,-73.95040894,40.79505157,1,N,-73.97047424,40.78396988,2,7,0,0.5,0,0,0.3,7.8
1,1/1/2016 9:50,1/1/2016 9:55,1,0.9,-73.98651123,40.73397446,1,N,-73.97608185,40.74033737,1,6,0,0.5,1.5,0,0.3,8.3
1,1/1/2016 9:58,1/1/2016 10:11,1,3.7,-73.95597839,40.78953171,1,N,-73.98977661,40.74710083,1,13.5,0,0.5,2.85,0,0.3,17.15
2,1/1/2016 10:01,1/1/2016 10:05,1,1.44,-73.99127197,40.76021576,1,N,-73.9972229,40.7439003,1,6,0,0.5,1.36,0,0.3,8.16
2,1/1/2016 10:05,1/1/2016 10:08,5,1.22,-73.9443512,40.79497147,1,N,-73.95412445,40.7805481,2,5.5,0,0.5,0,0,0.3,6.3
2,1/1/2016 10:08,1/1/2016 10:33,1,19.25,-73.78331757,40.64861679,2,N,-73.95480347,40.77851105,1,52,0,0.5,17.5,5.54,0.3,75.84
1,1/1/2016 10:14,1/1/2016 10:19,1,1,-73.97837067,40.75201416,1,N,-73.97623444,40.75827026,2,5.5,0,0.5,0,0,0.3,6.3
1,1/1/2016 10:37,1/1/2016 11:04,1,17.7,-73.99136353,40.74965668,2,N,-73.78207397,40.64435959,2,52,0,0.5,0,5.54,0.3,58.34
2,1/1/2016 10:42,1/1/2016 11:05,5,5.26,-73.97879028,40.76156998,1,N,-74.0135498,40.71440125,2,20.5,0,0.5,0,0,0.3,21.3
2,1/1/2016 10:45,1/1/2016 10:51,1,1.21,-73.98937225,40.7360611,1,N,-73.97801208,40.75106049,1,6.5,0,0.5,1,0,0.3,8.3
2,1/1/2016 10:57,1/1/2016 11:04,6,1.35,-74.00189209,40.7294693,1,N,-73.98535919,40.73003006,1,7.5,0,0.5,1.66,0,0.3,9.96
2,1/1/2016 10:57,1/1/2016 11:06,1,3.34,-73.99137115,40.74936676,1,N,-73.97746277,40.7132988,1,12,0,0.5,3.2,0,0.3,16
1,1/1/2016 10:58,1/1/2016 11:02,2,0.9,-73.95804596,40.76869583,1,N,-73.95359039,40.77920914,1,5,0,0.5,1.2,0,0.3,7
1,1/1/2016 11:09,1/1/2016 11:15,1,1.3,-73.97666931,40.74928665,1,N,-73.99182129,40.7395401,2,7,0,0.5,0,0,0.3,7.8
1,1/1/2016 11:13,1/1/2016 11:16,2,0.9,-74.0018158,40.70928955,1,N,-73.98806763,40.71287155,2,5,0,0.5,0,0,0.3,5.8
1,1/1/2016 11:33,1/1/2016 11:41,1,2.8,-73.98985291,40.73921585,1,N,-73.98371887,40.71203613,2,10.5,0,0.5,0,0,0.3,11.3
2,1/1/2016 11:36,1/1/2016 11:45,5,1.9,-73.95824432,40.78051376,1,N,-73.98191833,40.77603912,2,9,0,0.5,0,0,0.3,9.8
2,1/1/2016 11:36,1/1/2016 11:48,2,3.68,-74.00862122,40.70700073,1,N,-73.99092102,40.75091934,2,13,0,0.5,0,0,0.3,13.8
1,1/1/2016 11:40,1/1/2016 11:43,1,0.7,-73.9908371,40.73472977,1,N,-73.99740601,40.72570038,1,4.5,0,0.5,1,0,0.3,6.3
1,1/1/2016 11:45,1/1/2016 11:50,2,1.5,-73.97463226,40.76147079,1,N,-73.98869324,40.74493027,2,6.5,0,0.5,0,0,0.3,7.3
2,1/1/2016 11:45,1/1/2016 11:48,2,0.7,-73.97988129,40.74340057,1,N,-73.97814941,40.75104141,1,4.5,0,0.5,1.06,0,0.3,6.36
1,1/1/2016 12:01,1/1/2016 12:25,4,6.1,-73.98091888,40.76321793,1,N,-74.01676941,40.70477676,2,22.5,0,0.5,0,0,0.3,23.3
